Name,Customer_ID,Address,City,State,ZIP,Avg_Sale_Amount,Store_Number,Responded_to_Last_Catalog,Avg_Num_Products_Purchased,#_Years_as_Customer,Customer_Segment_Loyalty_Club_Only,Customer_Segment_Loyalty_Club_and_Credit_Card,Customer_Segment_Store_Mailing_List
Tara Keogh,1673,550 E 19th Ave,Denver,CO,80203,143.32,107,Yes,1,1,0,0,1
Deborah Rudolph-Newman,1681,8100 W 51st Ave,Arvada,CO,80002,171.92,103,No,2,7,0,0,1
Alma Flores,1684,1116 12th St,Golden,CO,80401,210.92,107,No,4,3,0,0,1
Vena Antoine,1686,5301 S Birch Ct,Greenwood Village,CO,80121,229.56,104,Yes,4,4,0,0,1
Keri Layne-Tarman,1692,140 Dover St,Lakewood,CO,80226,45.44,103,No,1,7,0,0,1
Sarai Hernandez,1695,555 Estes St,Lakewood,CO,80226,182.26,106,No,2,3,0,0,1
Audrey Fulkerson,1696,276 Moline Ct,Aurora,CO,80010,258.54,105,No,3,7,0,0,1
Marina Aleynikov,1697,4620 S Ensenada St,Centennial,CO,80015,191.19,104,Yes,3,4,0,0,1
J Goforth,1704,6480 E 64th Ave,Commerce City,CO,80022,123.12,105,No,1,3,0,0,1
Anne Nickerson,1711,13903 E Jewell Ave,Aurora,CO,80012,238.1,105,Yes,3,1,0,0,1
Nanette Chapman,1713,704 S Elkhart St,Aurora,CO,80012,83.77,105,No,2,5,0,0,1
Jill Godbey,1715,3605 Eaton St,Denver,CO,80212,88.07,107,Yes,2,8,0,0,1
Jane Lancaster,1716,5051 S Clarkson St,Englewood,CO,80113,224.8,104,Yes,1,5,0,0,1
Andrea Walker,1718,4006 Ames St,Denver,CO,80212,272.48,107,No,3,4,0,0,1
Sarah Albright,1719,15400 W 64th Ave,Arvada,CO,80007,278.21,108,No,4,7,0,0,1
Isaca Gilstrap,1728,7710 W 87th Dr,Arvada,CO,80005,85.86,109,No,1,3,0,0,1
Solara Antonopulos,1737,3283 S Pontiac St,Denver,CO,80224,138.3,105,No,2,4,0,0,1
Raquel Wahab,1743,242 Hooker St,Denver,CO,80219,261.07,101,No,2,3,0,0,1
Kimberly Smith,1746,200 Rampart Way,Denver,CO,80230,169.51,100,No,1,4,0,0,1
Janice Neff,1749,1292 S Olathe Way,Aurora,CO,80017,184.2,100,No,3,6,0,0,1
Cheryl Huck,1754,4156 S Mobile Cir,Aurora,CO,80013,275.07,104,No,3,6,0,0,1
Anna Padilla-Groves,1756,5500 W 115th Dr,Westminster,CO,80020,152.53,109,No,1,6,0,0,1
Marianne Mattias,1757,10760 W 63rd Ave,Arvada,CO,80004,243.5,107,No,1,5,0,0,1
Nancy Roberts,1758,192 Kenton St,Aurora,CO,80010,191.97,100,No,1,8,0,0,1
Dorothy Hartman,1759,8680 E Alameda Ave,Denver,CO,80247,29.05,100,Yes,1,4,0,0,1
Lois Selwinder,1760,4163 S Richfield Way,Aurora,CO,80013,181.24,104,No,1,5,0,0,1
Mary Young,1762,7445 W Utah Ave,Lakewood,CO,80232,13.94,108,Yes,1,5,0,0,1
Nancy Stiles,1764,8210 W 16th Pl,Lakewood,CO,80214,273.3,100,No,3,6,0,0,1
Carol Mathers,1771,10988 E 16th Ave,Aurora,CO,80010,185.44,104,No,3,8,0,0,1
Darl Mueller,1784,9300 E Florida Ave,Denver,CO,80247,164.21,100,No,1,4,0,0,1
Jauncey Canterbury,1785,15753 E Caspian Cir,Aurora,CO,80013,161.85,105,No,1,6,0,0,1
Carol Johnson,1789,2839 S Helena Way,Aurora,CO,80013,261.84,104,No,4,1,0,0,1
Chris Newberry,1792,12347 E Bates Cir,Aurora,CO,80014,269.1,100,No,3,4,0,0,1
Jennifer Debruyn,1794,5561 S Zeno Ct,Centennial,CO,80015,34.72,104,No,1,6,0,0,1
Maxine Frymier,1798,1460 S Vrain Way,Denver,CO,80219,203.79,106,No,2,6,0,0,1
Peggy Morse,1799,12509 E Kentucky Ave,Aurora,CO,80012,268.12,100,No,3,8,0,0,1
Wendy Reder,1803,13261 E Asbury Dr,Aurora,CO,80014,197.59,104,No,1,2,0,0,1
R Todd,1804,2640 Kendall St,Edgewater,CO,80214,89.3,107,No,1,7,0,0,1
Peggy Nicoli,1805,3538 W 126th Pl,Broomfield,CO,80020,44.09,103,No,1,3,0,0,1
Regina Potaracke,1809,2701 Monroe St,Denver,CO,80205,175.19,103,No,2,5,0,0,1
Dorothy Betancourt,1813,82 Zenobia St,Denver,CO,80219,199.32,106,No,2,5,0,0,1
Abigail Muscarella,1815,7346 Beech Ct,Arvada,CO,80005,263.4,108,No,3,8,0,0,1
Meghan Carr,1818,7692 Garrison Ct,Arvada,CO,80005,221.66,103,No,4,2,0,0,1
Dianna Miketa,1819,2920 Niagara St,Denver,CO,80207,131.74,100,No,3,7,0,0,1
Margaret Determan,1820,74 Clarkson St,Denver,CO,80218,169.85,106,No,2,7,0,0,1
Marilyn Minhas,1823,3166 S Alton Ct,Denver,CO,80231,182.97,105,No,1,6,0,0,1
Mary Powell,1834,14133 Roaring Fork Cir,Broomfield,CO,80023,198.47,109,No,1,5,0,0,1
Virgean Hazel,1838,2988 S Zeno Way,Aurora,CO,80013,89.24,104,No,1,5,0,0,1
Delicia Brame,1839,8199 Welby Rd,Denver,CO,80229,231.07,109,No,1,1,0,0,1
Carrie Maag-Brown,1840,851 S Holly St,Denver,CO,80246,164.5,106,No,1,3,0,0,1
Marina Breycher,1845,13648 W 62nd Dr,Arvada,CO,80004,152.93,106,No,1,5,0,0,1
Alysha Cooke,1853,6437 W 75th Dr,Arvada,CO,80003,203.91,107,Yes,1,5,0,0,1
Victoria Reier,1854,5111 Preserve Pkwy N,Greenwood Village,CO,80121,124.07,105,Yes,2,6,0,0,1
Kimberly Peterson,1855,1818 S Quebec Way,Denver,CO,80231,211.63,100,Yes,1,5,0,0,1
Audrey Nelson,1857,5775 W Dartmouth Ave,Denver,CO,80227,165.21,101,No,1,7,0,0,1
Mimi Abdul,1859,14102 E Linvale Pl,Aurora,CO,80014,270.12,105,No,1,1,0,0,1
Kathryn Devlin,1860,5641 W 76th Ave,Arvada,CO,80003,35.25,107,No,1,1,0,0,1
Polly Rehmar,1861,9385 Desert Willow Way,Highlands Ranch,CO,80129,21.51,101,No,1,1,0,0,1
Maria Sanusi,1862,2960 S Steele St,Denver,CO,80210,117.62,104,No,1,5,0,0,1
Tologia Lafaele,1864,1160 S Joliet St,Aurora,CO,80012,226.34,100,No,1,8,0,0,1
Christen Owen,1866,15457 E Dorado Pl,Centennial,CO,80015,15.17,104,No,1,2,0,0,1
Althea Mcmillon,1867,5704 W Asbury Pl,Lakewood,CO,80227,105.37,100,No,1,2,0,0,1
Heather Kubert,1870,3560 W Union Ave,Englewood,CO,80110,121.03,101,No,1,2,0,0,1
Stephanie Terry,1872,7109 Xenon Ct,Arvada,CO,80004,199.5,108,No,3,1,0,0,1
Luray Thiaville,1879,1630 Boston St,Aurora,CO,80010,120.79,105,No,1,4,0,0,1
Enedina Amaya,1880,8021 S Harrison Cir,Centennial,CO,80122,128.28,100,No,1,1,0,0,1
Sara Dehaven,1881,8001 S Niagara Way,Centennial,CO,80112,74.95,105,No,1,7,0,0,1
Annette Stiner,1882,60 Ivy St,Denver,CO,80220,232.92,101,Yes,1,7,0,0,1
Christene Glasshoff,1883,12283 E Ford Ave,Aurora,CO,80012,167.11,105,No,1,7,0,0,1
Denise Lachance,1884,4520 Bryant St,Denver,CO,80211,115.63,101,No,1,4,0,0,1
Kimberly Marshall,1886,1260 Sherman St,Denver,CO,80203,148.46,107,Yes,1,8,0,0,1
Jennifer Rosenfels,1889,4422 Quivas St,Denver,CO,80211,262.0,107,No,2,2,0,0,1
Karen Escobar,1896,1209 Pennsylvania St,Denver,CO,80203,109.84,100,No,2,7,0,0,1
Kristin Orcutt,1898,8872 W 79th Ave,Arvada,CO,80005,211.86,103,Yes,1,4,0,0,1
N Niedens,1899,7450 E 6th Ave,Denver,CO,80230,53.53,100,No,1,4,0,0,1
Rose Lamb,1900,320 S Fairfax St,Denver,CO,80246,16.96,105,No,1,1,0,0,1
Dee Hodapp,1903,1320 Quentin St,Aurora,CO,80011,70.19,105,No,1,2,0,0,1
Patricia Moore,1904,6708 W 84th Ave,Arvada,CO,80003,251.09,107,No,3,3,0,0,1
Rebecca Griffin,1907,2030 S Knox Ct,Denver,CO,80219,216.46,101,No,3,2,0,0,1
Barbara Rossi,1912,6900 W Grant Ranch Blvd,Littleton,CO,80123,81.73,101,No,1,6,0,0,1
Suzanne Lane,1914,3231 E 103rd Pl,Thornton,CO,80229,168.17,109,No,1,1,0,0,1
Onjalique Williams,1916,15534 E Floyd Ave,Aurora,CO,80013,129.66,105,No,2,4,0,0,1
Ann Kelley,1921,20784 E Peakview Pl,Aurora,CO,80016,47.04,102,No,1,8,0,0,1
Paige Omeara,1922,822 S Oneida St,Denver,CO,80224,100.71,100,No,1,1,0,0,1
Kimberly Nguyen,1923,5733 W Marquette Dr,Denver,CO,80235,124.65,106,No,1,5,0,0,1
Melissa Humphrey,1924,730 Stuart St,Denver,CO,80204,88.34,107,No,1,1,0,0,1
Cecelia Caldera,1925,4210 E 100th Ave,Thornton,CO,80229,234.92,109,Yes,2,6,0,0,1
Beth Rea,1930,4675 W Alaska Pl,Denver,CO,80219,205.11,106,No,1,1,0,0,1
Kristi Lauer,1931,11871 W 70th Pl,Arvada,CO,80004,264.89,108,No,2,5,0,0,1
Jessica Brown,1933,7100 E Mississippi Ave,Denver,CO,80224,238.4,104,No,2,3,0,0,1
Rita Cassell,1934,8620 W 93rd Pl,Broomfield,CO,80021,136.13,103,No,3,7,0,0,1
Annette Mccorvey,1936,5585 S Crocker St,Littleton,CO,80120,105.41,106,No,1,5,0,0,1
Angela Goodteacher,1939,9058 W Dartmouth Pl,Lakewood,CO,80227,186.06,106,No,3,1,0,0,1
Kelli Overley,1943,9015 E Oxford Dr,Denver,CO,80237,185.4,104,No,2,5,0,0,1
Sandra Buchholz,1945,19951 E Eldorado Dr,Aurora,CO,80013,145.92,104,No,3,6,0,0,1
Laura Kurschinski,1948,1438 Amherst St,Superior,CO,80027,172.27,109,No,2,2,0,0,1
Melanie Moore,1950,2580 S Federal Blvd,Denver,CO,80219,267.43,101,No,4,8,0,0,1
Jessie Ives,1964,4376 S Xenophon Way,Morrison,CO,80465,126.46,101,No,1,7,0,0,1
Cheryl Brault,1970,2362 W 118th Ave,Denver,CO,80234,197.33,109,No,1,8,0,0,1
Bryndi Waldo,1981,3471 S Ammons St,Lakewood,CO,80227,222.73,101,No,1,7,0,0,1
Susana Moreno,1984,10354 W Kenyon Dr,Denver,CO,80235,191.28,101,No,2,1,0,0,1
April Peterson,1995,1980 Jay St,Lakewood,CO,80214,123.05,108,No,1,5,0,0,1
Amanda Lucarelli,2000,7589 W 72nd Ave,Arvada,CO,80003,227.34,103,No,2,2,0,0,1
Michelle Tanger,2009,1601 Lima St,Aurora,CO,80010,17.03,100,Yes,1,8,0,0,1
Jackie Beckley,2014,1171 Stonehaven Ave,Broomfield,CO,80020,241.14,108,No,4,4,0,0,1
Jojo Borbon,2015,1161 Mercury Dr,Lafayette,CO,80026,124.05,103,Yes,2,1,0,0,1
Kristen Sullivan,2027,4675 E Louisiana Ave,Denver,CO,80246,163.44,106,No,1,6,0,0,1
Cris Veteto,2029,10872 Legacy Ridge Way,Westminster,CO,80031,189.06,103,No,1,7,0,0,1
Sheila Pottern,2032,6711 W 98th Pl,Broomfield,CO,80021,62.74,103,No,1,5,0,0,1
Pamela Herrman,2035,7085 W 52nd Ave,Arvada,CO,80002,264.33,106,No,3,2,0,0,1
Gennadiy Pavlov,2038,3445 Otis St,Wheat Ridge,CO,80033,228.32,107,No,2,5,0,0,1
Susan Patterson,2042,9675 E Arkansas Pl,Denver,CO,80247,238.65,101,No,2,2,0,0,1
Kaitlyn Parks,2047,620 S Dahlia Cir,Denver,CO,80246,164.44,100,No,1,7,0,0,1
Diane King,2055,10835 E Wesley Pl,Aurora,CO,80014,149.07,100,No,2,2,0,0,1
Dawn Vining,2056,11435 Knox Ct,Westminster,CO,80031,111.11,108,No,2,8,0,0,1
Monica Vela,2065,18196 E Ohio Ave,Aurora,CO,80017,17.54,104,No,1,8,0,0,1
Kyrenia Puente-Hernandez,2070,7550 S Blackhawk St,Englewood,CO,80112,123.95,100,No,2,7,0,0,1
Leslie Santaniello,2077,2930 S Zeno Way,Aurora,CO,80013,71.48,105,Yes,1,3,0,0,1
Kerry Wuthrich,2078,15430 E Center Ave,Aurora,CO,80017,121.02,105,No,1,5,0,0,1
Leslie Roth,2079,460 W 78th Pl,Denver,CO,80221,37.88,103,No,1,7,0,0,1
Susana Arjona,2080,5735 E Cedar Ave,Denver,CO,80224,89.53,100,No,1,5,0,0,1
Sonja Debose,2084,6669 W 97th Ct,Broomfield,CO,80021,153.83,103,No,1,8,0,0,1
Rachel Gaines,2095,1313 Locust St,Denver,CO,80220,252.84,105,No,1,2,0,0,1
Caryl Jones,2097,324 Albion St,Denver,CO,80220,66.87,104,Yes,1,1,0,0,1
Chamille Small,2098,10854 Grove Ct,Westminster,CO,80031,165.27,109,No,2,4,0,0,1
Karen Crigler,2103,17221 E Walsh Way,Aurora,CO,80017,192.04,105,No,2,6,0,0,1
Lita Prez,2104,2961 S Franklin St,Englewood,CO,80113,125.12,101,Yes,1,3,0,0,1
Christine Vonlersner,2106,2095 S Paris Way,Aurora,CO,80014,213.16,105,No,2,1,0,0,1
Maria Garcia,2109,4707 W 105th Way,Westminster,CO,80031,176.09,107,No,1,5,0,0,1
Patricia Biggers,2115,1461 S Macon Ct,Aurora,CO,80012,190.22,105,No,3,3,0,0,1
Janice Mares,2119,6470 Marshall St,Arvada,CO,80003,258.28,106,No,3,4,0,0,1
Sue Migaki,2121,10091 E Ohio Ave,Denver,CO,80247,230.65,104,No,2,1,0,0,1
Erica Young,2125,12273 E 2nd Dr,Aurora,CO,80011,143.4,105,No,1,2,0,0,1
Jenna Horan,2127,2727 W 46th Ave,Denver,CO,80211,231.99,106,No,3,8,0,0,1
Bernadette Demott,2129,2513 S Genoa St,Aurora,CO,80013,220.64,105,No,1,1,0,0,1
Corinne Maestas,2135,1551 Larimer St,Denver,CO,80202,192.63,106,No,1,2,0,0,1
Waltraud Kaminky,2142,5455 S Niagara Ct,Greenwood Village,CO,80111,122.01,106,No,1,7,0,0,1
Jacqueline Rapp,2145,6104 W 84th Way,Arvada,CO,80003,29.89,108,Yes,1,4,0,0,1
Susan Miller,2156,1470 S Quebec Way,Denver,CO,80231,236.28,100,No,3,2,0,0,1
Melissa Wacker,2158,6258 W 84th Ave,Arvada,CO,80003,235.36,108,Yes,1,1,0,0,1
Moncia Kinnermon,2160,290 W 3rd Avenue Dr,Broomfield,CO,80020,119.12,103,No,2,3,0,0,1
Brenda Guadagni,2164,11105 Alcott St,Denver,CO,80234,223.34,103,No,3,7,0,0,1
Stella Strother,2165,2181 S Trenton Way,Denver,CO,80231,234.8,100,Yes,1,2,0,0,1
Amanda Tyacke,2166,4564 E Montana Pl,Denver,CO,80222,215.85,100,No,1,8,0,0,1
Jacqueline Medina,2167,4195 S Argonne St,Aurora,CO,80013,12.26,104,No,1,7,0,0,1
Niyomphone Chittarath,2168,5880 S Lowell Way,Littleton,CO,80123,80.25,101,No,1,3,0,0,1
Susan Study,2169,13205 E Bethany Pl,Aurora,CO,80014,140.43,105,No,1,6,0,0,1
Laura Hein,2171,16276 E Purdue Pl,Aurora,CO,80013,181.92,104,No,1,7,0,0,1
Helen Gonzales,2172,13388 Downing St,Thornton,CO,80241,101.66,109,No,1,3,0,0,1
Martha Valdez,2174,6675 W Exposition Ave,Lakewood,CO,80226,74.11,106,No,2,6,0,0,1
Lisbeth Garratt,2175,1140 US Highway 287,Broomfield,CO,80020,212.04,109,No,1,7,0,0,1
Usha Cherukuri,2176,7040 Raritan St,Denver,CO,80221,200.75,107,No,1,6,0,0,1
Demetria Martinez,2177,13346 Wildflower St,Broomfield,CO,80020,42.9,109,No,1,6,0,0,1
Cynthia Herr,2178,17321 E Mansfield Ave,Aurora,CO,80013,85.27,102,No,1,1,0,0,1
Linda Wiggins,2179,8005 Greenwood Blvd,Denver,CO,80221,182.37,109,No,1,7,0,0,1
Jane Larrance,2180,12586 W Texas Pl,Lakewood,CO,80228,98.67,106,No,1,5,0,0,1
Terri Gretz,2181,22021 E Prentice Pl,Aurora,CO,80015,25.91,102,No,1,7,0,0,1
Laura Counts,2186,136 Paris Cir,Aurora,CO,80011,219.53,105,No,1,1,0,0,1
Cody Cowles,2195,9555 W 59th Ave,Arvada,CO,80004,83.65,108,No,2,1,0,0,1
Sheryl Clear,2198,10191 E Iowa Ave,Denver,CO,80247,152.63,105,Yes,3,2,0,0,1
Julia Carrera,2201,8806 W 86th Dr,Arvada,CO,80005,36.9,103,No,1,5,0,0,1
Mary Stuart,2207,909 S Saulsbury St,Lakewood,CO,80226,95.93,106,Yes,1,1,0,0,1
Willadeen Byrd,2211,11936 E 119th Pl,Northglenn,CO,80233,130.67,109,Yes,3,8,0,0,1
Glorla Balgley,2221,3845 Harlan St,Wheat Ridge,CO,80033,156.25,103,No,2,1,0,0,1
Tamara Pullano,2233,1827 E Mississippi Ave,Denver,CO,80210,43.09,100,No,1,4,0,0,1
Ilsa Vasquez,2234,561 S Taft St,Lakewood,CO,80228,77.26,106,No,1,1,0,0,1
Maureen Smice,2235,2537 S Osceola St,Denver,CO,80219,210.45,101,No,1,2,0,0,1
Bobbi Korneychuk,2236,950 Garnet St,Broomfield,CO,80020,217.45,109,Yes,1,6,0,0,1
Heidi Wagner,2237,2723 W Mississippi Ave,Denver,CO,80219,123.4,107,No,1,5,0,0,1
Audrey Hanson,2240,9100 E Florida Ave,Denver,CO,80247,203.05,101,No,2,1,0,0,1
Sally Meiresonne,2241,15839 E Tennessee Ave,Aurora,CO,80017,170.22,105,No,2,8,0,0,1
Connie Patterson,2243,9177 E Tufts Pl,Greenwood Village,CO,80111,243.95,104,Yes,3,7,0,0,1
Heather Ramirez,2244,12154 E Kepner Pl,Aurora,CO,80012,198.33,105,No,3,4,0,0,1
Adrienne Narrowe,2247,10448 Varese Ln,Northglenn,CO,80234,218.19,103,Yes,1,7,0,0,1
Marie Chute,2250,10825 E Colorado Dr,Aurora,CO,80012,276.06,105,No,4,5,0,0,1
Gabriella Martinez,2253,10905 Verna Ln,Northglenn,CO,80234,235.44,108,No,1,4,0,0,1
Shannon Ezell,2262,16577 Sweetbrush Dr,Parker,CO,80134,14.86,102,No,1,2,0,0,1
Kira Richardson,2269,2601 W Amherst Ave,Denver,CO,80236,246.55,106,No,1,7,0,0,1
Jennifer Gomes,2277,200 Reed St,Lakewood,CO,80226,201.63,101,No,3,7,0,0,1
Laura Lucero,2280,5509 S Iris St,Littleton,CO,80123,161.79,101,No,1,2,0,0,1
Prabhat Pradhan,2283,90 S Fairfax St,Denver,CO,80246,132.99,100,No,1,1,0,0,1
Andrea Lenz,2289,24723 E Park Crescent Dr,Aurora,CO,80016,202.6,102,No,3,6,0,0,1
Theresa Garcia,2293,3456 S Race St,Englewood,CO,80113,179.79,100,No,1,6,0,0,1
Annette Brown,2294,7861 E Cornell Ave,Denver,CO,80231,139.8,101,No,1,7,0,0,1
Jonelle Roberts,2295,1460 S Cherry St,Denver,CO,80222,36.26,101,No,1,6,0,0,1
Virginia Arnold,2296,14572 W 69th Pl,Arvada,CO,80004,106.91,108,No,1,5,0,0,1
Pamela Webster,2297,2518 W 104th Cir,Denver,CO,80234,159.92,103,No,1,8,0,0,1
Hanan Abdelkader,2298,2749 S Hazel Ct,Denver,CO,80236,232.76,101,No,1,6,0,0,1
Jennifer Phillips,2299,674 Franklin St,Denver,CO,80218,192.43,107,No,1,3,0,0,1
Rita Eaton,2300,3055 Glencoe St,Denver,CO,80207,192.65,105,No,2,7,0,0,1
Marie Romero,2301,2161 S Alton Way,Denver,CO,80231,215.87,101,No,1,6,0,0,1
Jeannine Dalton,2306,9052 E Lehigh Ave,Denver,CO,80237,189.18,100,No,1,5,0,0,1
Hope Mares,2310,9317 Fenton Ct,Westminster,CO,80031,46.1,103,No,1,2,0,0,1
Cheryl Napier,2311,7486 E Princeton Ave,Denver,CO,80237,243.64,100,No,1,5,0,0,1
Heather Dulcy,2312,5216 E 119th Pl,Thornton,CO,80233,238.19,109,No,1,3,0,0,1
Susan Bobka,2314,7435 S Jackson Gap Way,Aurora,CO,80016,218.93,104,No,1,1,0,0,1
Sue Mcclatchey,2316,11771 E Center Ave,Aurora,CO,80012,105.17,105,No,1,2,0,0,1
Lola Lege,2317,1051 S Geneva St,Denver,CO,80247,13.83,102,No,1,4,0,0,1
Alicia Jones,2318,3456 S Downing St,Englewood,CO,80113,160.84,100,No,1,7,0,0,1
Carissa Sutter,2319,2901 S Downing St,Englewood,CO,80113,143.6,100,No,1,7,0,0,1
Jami Blake,2320,1824 Eisenhower Way,Aurora,CO,80011,107.23,105,No,1,8,0,0,1
Marni Berg,2324,18855 E Union Dr,Aurora,CO,80015,270.72,104,No,1,5,0,0,1
Lisa Kehmeier,2325,1064 S Zeno Way,Aurora,CO,80017,139.15,105,Yes,1,2,0,0,1
Laura Jacobs,2326,4483 S Pagosa Way,Aurora,CO,80015,81.02,104,No,1,6,0,0,1
Chelsea Moody,2327,2971 Quitman St,Denver,CO,80212,158.08,107,No,1,7,0,0,1
Tiffany Duval,2335,15079 E Mexico Dr,Aurora,CO,80012,176.82,105,Yes,1,5,0,0,1
Maria Casillas,2339,700 Hutchinson St,Louisville,CO,80027,128.31,109,No,2,6,0,0,1
Terry Talon,2348,2918 W Rowland Ave,Littleton,CO,80120,78.85,106,No,1,3,0,0,1
Janet Holman,2350,4221 S Mobile Cir,Aurora,CO,80013,18.19,104,No,1,8,0,0,1
Nicole Tennant,2351,2529 S Utica St,Denver,CO,80219,244.76,101,Yes,4,5,0,0,1
Sisley Aragon,2353,13992 E Marina Dr,Aurora,CO,80014,255.76,105,No,2,7,0,0,1
Danelle Mccright,2361,18486 E Bethany Pl,Aurora,CO,80013,127.37,104,No,2,3,0,0,1
Alison Thomas,2363,625 Partridge Cir,Golden,CO,80403,201.94,103,No,3,4,0,0,1
Amy Hallock,2368,2708 Marion St,Denver,CO,80205,249.37,103,No,2,7,0,0,1
Patricia Woodward,2377,66 Oakland St,Aurora,CO,80012,270.34,105,No,2,5,0,0,1
Jennifer Jimenez,2379,5133 S Liverpool Way,Centennial,CO,80015,182.29,102,No,1,2,0,0,1
Kiersten Friess,2384,9966 Wyecliff Dr,Highlands Ranch,CO,80126,75.08,104,No,1,1,0,0,1
Andrea Ashley,2397,4901 W 93rd Ave,Westminster,CO,80031,105.6,103,No,2,2,0,0,1
Della Sandoval,2401,13933 E Jewell Ave,Aurora,CO,80012,124.77,105,No,1,8,0,0,1
Leigh Fall,2404,16260 E Belleview Pl,Centennial,CO,80015,117.75,104,No,1,7,0,0,1
Marlene Moreno,2406,10363 Crimson Ct,Parker,CO,80134,158.46,102,No,1,3,0,0,1
Susan Kim,2407,6151 Ammons St,Arvada,CO,80004,1.22,108,No,1,6,0,0,1
Shannon Perkins,2411,4009 Upham St,Wheat Ridge,CO,80033,65.93,107,No,1,1,0,0,1
Mandi Solat,2413,1651 Monroe St,Denver,CO,80206,209.92,100,No,1,6,0,0,1
Victoria Kendrick,2414,7423 W 82nd Way,Arvada,CO,80003,224.37,103,No,1,8,0,0,1
Paula Cordier,2415,10110 Woodrose Ct,Highlands Ranch,CO,80129,157.1,101,No,1,3,0,0,1
Michelle Smith,2416,1356 Quaker St,Golden,CO,80401,25.69,108,No,1,5,0,0,1
Toni Shelton,2425,9034 E Lehigh Ave,Denver,CO,80237,65.07,100,No,1,1,0,0,1
Mitra Sabet,2432,18425 E Flora Dr,Aurora,CO,80013,213.88,105,No,3,7,0,0,1
Wordna Paxson,2434,9810 Westcliff Pkwy,Broomfield,CO,80021,244.74,103,Yes,1,6,0,0,1
Stacey Burgess,2435,11862 Meadowood Ln,Parker,CO,80138,138.7,102,No,1,2,0,0,1
Julie Sena,2437,2243 Beech Ct,Golden,CO,80401,198.0,106,Yes,4,2,0,0,1
Mary Baruch,2439,15593 E Princeton Ave,Aurora,CO,80013,137.25,104,No,2,2,0,0,1
Phyllis Giron,2440,4300 S Alton Pl,Greenwood Village,CO,80111,50.21,104,No,1,6,0,0,1
Katherine Mackey,2441,6950 S Polo Ridge Dr,Littleton,CO,80128,142.94,101,No,1,8,0,0,1
Carol Talpas,2444,5342 Yank Way,Arvada,CO,80002,89.98,108,No,1,5,0,0,1
Randi Augustine,2445,21538 E Ottawa Cir,Aurora,CO,80016,117.77,105,No,1,2,0,0,1
Joan Scott,2448,5520 Hudson Cir,Thornton,CO,80241,269.73,109,No,2,2,0,0,1
Gloria Gardner,2458,1728 S Dahlia St,Denver,CO,80222,108.52,100,No,2,1,0,0,1
Maureen Wahl,2462,18204 E Wesley Pl,Aurora,CO,80013,165.27,100,No,3,3,0,0,1
Krista Zitek,2467,7941 S Estes St,Littleton,CO,80128,74.97,101,No,1,1,0,0,1
T Massey,2473,5253 S Cathay Way,Centennial,CO,80015,75.88,105,No,1,6,0,0,1
Amber Brenzikofer,2476,4602 Shaw Blvd,Westminster,CO,80031,217.75,103,No,2,8,0,0,1
Veronica Morales,2478,9757 Kipling St,Broomfield,CO,80021,55.08,108,No,1,1,0,0,1
Tamara Carlsen,2481,15351 E 12th Ave,Aurora,CO,80011,169.19,105,Yes,3,5,0,0,1
April Greene-Apking,2483,19366 E Greenwood Pl,Aurora,CO,80013,227.25,102,No,2,7,0,0,1
April Hammond,2488,1909 S Quebec Way,Denver,CO,80231,213.86,100,No,2,7,0,0,1
Barbara Wagner,2492,4845 E Costilla Pl,Centennial,CO,80122,13.66,106,No,1,3,0,0,1
T Wells,2493,14181 W Amherst Ave,Lakewood,CO,80228,164.78,107,No,1,6,0,0,1
Janae Nuniz,2494,7249 Deframe Ct,Arvada,CO,80005,16.21,108,No,1,7,0,0,1
Bernadette Greene,2495,2210 S Dexter St,Denver,CO,80222,187.65,101,No,2,1,0,0,1
Sharon Freeman,2502,1375 W 13th Ave,Broomfield,CO,80020,216.08,109,No,3,1,0,0,1
Nicole Melorango,2503,1550 Platte St,Denver,CO,80202,268.85,106,No,3,7,0,0,1
Carmen Ottero,2506,4467 S Lowell Blvd,Denver,CO,80236,58.99,101,No,1,2,0,0,1
Vera Ellis,2508,530 Vance St,Lakewood,CO,80226,45.97,106,No,1,7,0,0,1
Christina Peck,2509,1666 Kendall St,Lakewood,CO,80214,140.88,107,No,1,2,0,0,1
Judy Smith,2510,17233 E Arizona Pl,Aurora,CO,80017,57.19,105,No,1,4,0,0,1
Pamela Rodgers,2511,959 S Race St,Denver,CO,80209,117.64,101,No,1,7,0,0,1
Monique Eddins,2512,2373 W Vassar Ave,Englewood,CO,80110,28.77,101,No,1,1,0,0,1
Cheelu Vue,2513,2873 S Saulsbury St,Denver,CO,80227,146.43,106,No,1,5,0,0,1
Cristin Allapowa,2515,8441 Everett Way,Arvada,CO,80005,155.2,108,No,1,6,0,0,1
Malissa Williams,2516,2980 W Vassar Ave,Denver,CO,80219,227.39,101,No,1,5,0,0,1
Tobi Bender,2517,6602 W 96th Ave,Broomfield,CO,80021,116.01,103,No,1,5,0,0,1
Jennifer Seib,2518,459 White Ash Dr,Golden,CO,80403,87.57,108,Yes,1,1,0,0,1
Martha Freeman,2519,7079 Van Gordon Ct,Arvada,CO,80004,67.56,107,No,1,3,0,0,1
Cassandra Richards,2520,960 Nickel St,Broomfield,CO,80020,268.43,109,No,1,4,0,0,1
Devan Haas,2521,5116 S Haleyville St,Aurora,CO,80016,266.55,104,No,2,6,0,0,1
